amount,venue,address,city,state,zip,type
1145129.13,"Degy Booking International, Inc - SVOG",9826 Montpellier Drive,Delray Beach,FL,33446,Talent representative
426997.30,Delray Beach Playhouse Inc - SVOG,950 Lake Shore Dr ,Delray Beach,FL,33444,Live venue operator or promoter
731218.34,"Honey Delray, Inc. - SVOG",52 N Swinton Avenue ,Delray Beach,FL,33444,Live venue operator or promoter
541760.15,"Oriole Cinemas, Inc. - SVOG",7421 W Atlantic Ave. ,Delray Beach,FL,33446,Motion picture theater operator
7076533.05,"Epic 2 Properties Holdings, LLC - SVOG",939 Hollywood Blvd.,Deltona,FL,32725,Motion picture theater operator
9244780.65,"Epic Properties Holdings, LLC - SVOG",939 Hollywood Boulevard ,Deltona,FL,32725,Motion picture theater operator
3238794.00,"Epic Theatres 2, LLC - SVOG",939 Hollywood Blvd ,Deltona,Fl,32725,Motion picture theater operator
843127.20,"Epic Theatres 3, LLC - SVOG",939 Hollywood Blvd,Deltona,FL,32725,Motion picture theater operator
1368914.40,"Epic Theatres, Inc. - SVOG",939 Hollywood Blvd,Deltona,FL,32725,Motion picture theater operator
382043.25,FORBIDDEN KINGDOM MUSIC FEST LLC - SVOG,2456 NW 94TH AVE ,Doral,FL,33172,Live venue operator or promoter
9091064.38,LOUD AND LIVE INC. - SVOG,2301 NW 87 Ave 6th Floor,Doral,FL,33172,Live venue operator or promoter
13725.90,Miami Lyric Opera - SVOG,3602 Alcantara Ave ,Doral,FL,33178,Live performing arts organization operator
316757.60,New Century Dance Company Corp. - SVOG,10431 NW 28th St. Suite E-108,Doral,FL,33172,Talent representative
184738.33,PRINCE RECORDS CORP - SVOG,6010 NW 99TH AVE UNIT 117 ,Doral,FL,33178,Talent representative
134191.30,Sociedad Actoral Hispanoeamericana - SVOG,2186 NW 87 AVE,Doral,FL,33172,Theatrical producer
568081.87,THE BGM BOOKING LLC - SVOG,5161 NW 79TH AVE UNIT 4 ,Doral,FL,33166,Talent representative
55332.11,TIRANUBE ENTERTAINMENT LLC - SVOG,"9735 NW 52 St, Apt 414 APT 414",Doral,FL,33178,Talent representative
31114.95,Bits N Pieces Puppet Theatre - SVOG,12904 Tom Gallagher Rd ,Dover,FL,33527,Theatrical producer
67475.00,Englewood Entertainment Unlimited LLC - SVOG,3069 S McCall Rd. ,Englewood,FL,34224,Live venue operator or promoter
165492.45,"Masterworx Entertainment, LLC - SVOG",2001 Bridge Street ,Englewood,FL,34223,Live venue operator or promoter
262526.85,"Salto Entertainment, LLC - SVOG",700 Stoner Rd ,Englewood,FL,34223,Live performing arts organization operator
8932.50,Sian Espana - SVOG,700 Stoner Rd ,Englewood,FL,34223,Live performing arts organization operator
73000.00,Hoffman Entertainment Inc. - SVOG,21001 Bosco Ct. ,Estero,FL,33928,Talent representative
96005.00,"WORLD TOURING, LLC - SVOG","21301 S Tamiami Trl., #320, PMB 117",Estero,FL,33928,Talent representative
1657955.00,111 SW 2ND AVE LLC - SVOG,111 SW 2nd Ave,Fort Lauderdale,FL,33301,Live venue operator or promoter
2822368.70,"3-J Hospitality, LLC - SVOG",100 SW 3rd Ave ,Fort Lauderdale,FL,33312,Live venue operator or promoter
443033.00,BCEduventures - SVOG,111 E LAS OLAS BLVD ,Fort Lauderdale,FL,33301,Live venue operator or promoter
46579.88,Empire Stage Theater LLC - SVOG,1140 N Flagler Dr ,Fort Lauderdale,FL,33304,Live venue operator or promoter
1225586.89,"Florida Renaissance Festival, LLC - SVOG",800 NW 57th Place ,Fort Lauderdale,FL,33309,Live venue operator or promoter
29458.80,"Grace Arts Center, Inc. - SVOG",816 SE 8 street ,Fort Lauderdale,FL,33316,Theatrical producer
3183351.68,"Jungle Queens, Inc. - SVOG",2470 SW 21st Street ,Fort Lauderdale,FL,33312,Live venue operator or promoter
165857.26,Kash Patel Productions LLC - SVOG,3020 NE 32 Avenue Ste 326 ,Fort Lauderdale,FL,33308,Live venue operator or promoter
1634051.10,"Museum of Discovery and Science, Inc. - SVOG",401 SW 2nd Street ,Fort Lauderdale,FL,33312,Museum Operator
10000000.00,Performing Arts Center Authority - SVOG,201 SW 5th Avenue ,Fort Lauderdale,FL,33312,Live venue operator or promoter
597804.00,"Predatory Ventures, Inc. dba Culture Room - SVOG","P.O. Box 11021 (Mailing) 3045 N Federal Hwy Ste 70 Fort Lauderdale, FL 33306 (physical)",Fort Lauderdale,FL,33339,Live venue operator or promoter
66442.50,Reggae Ambassador Music - SVOG,1314 East Las Olas Blvd 6 ,Fort Lauderdale,FL,33301,Talent representative
2860781.95,Richter Entertainment Associates Inc - SVOG,1314 E LAS OLAS BLVD PH1,Fort Lauderdale,FL,33301,Live venue operator or promoter
448833.00,"ROYAL WEDDINGS ENTERTAINMENT, INC - SVOG",5285 NE 19TH AVE ,Fort Lauderdale,FL,33308,Live venue operator or promoter
640347.05,"Slow Burn Theatre Company, Inc. - SVOG",201 SW 5th Ave,Fort Lauderdale,FL,33312,Theatrical producer
5404727.08,Spotlight Entertainment Productions Inc - SVOG,"330 Himmarshee Street, Suite 106",Fort Lauderdale,FL,33312,Talent representative
215244.72,"SYMPHONY OF THE AMERICAS, INC. - SVOG",2300 E OAKLAND PARK BLVD STE 306,Fort Lauderdale,FL,33306,Live performing arts organization operator
14366.27,Thinking Cap Theatre Inc - SVOG,400 NE 3rd Ave Apt 2214,Fort Lauderdale,FL,33301,Live performing arts organization operator
862318.12,Whet Travel INC - SVOG,501 East Las Olas Blvd Suite 300,Fort Lauderdale,FL,33301,Live venue operator or promoter
75532.63,Alliance for the Arts - SVOG,10091 McGregor Blvd ,Fort Myers,FL,33919,Live performing arts organization operator
2724486.30,"Apex Touring, LLC - SVOG",1380 Colonial Blvd. ,Fort Myers,FL,33907,Theatrical producer
129190.95,Calusa Nature Center and Planetarium Inc. - SVOG,3450 Ortiz Avenue ,Fort Myers,FL,33436,Museum Operator
268418.70,EDISON PARK 8 CINEMAS LLC - SVOG,2235 WINKLER AVE ,Fort Myers,FL,33901,Motion picture theater operator
203314.90,"Florida Arts, Inc. - SVOG",2301 First St ,Fort Myers,FL,33901,Live performing arts organization operator
983250.84,"Florida Repertory Company, Inc - SVOG",2267 First Street ,Fort Myers,FL,33902,Live performing arts organization operator
317525.51,GULF COAST SYMPHONY ORCHESTRA INC - SVOG,6314 CORPORATE COURT SUITE 100 ,Fort Myers,FL,33919,Live performing arts organization operator
877218.23,Lee County Ranch LLC - SVOG,2158 COLONIAL BLVD STE 4 ,Fort Myers,FL,33907,Live venue operator or promoter
3155728.52,"Prather & Company, Inc - SVOG",1380 Colonial Blvd. ,Fort Myers,FL,33907,Live venue operator or promoter
215299.00,"The Players Circle Art Center, Inc - SVOG",945 Robalo Dr ,Fort Myers,FL,33919,Theatrical producer
429405.25,Pieces of Eight Pirate Holdings LLC - SVOG,2500 Main Street ,Fort Myers Beach,FL,33931,Live venue operator or promoter
34148.63,"St Lucie Community Theatre, Inc. - SVOG",700 West Weatherbee Road,Fort Pierce,FL,34982,Live performing arts organization operator
1096610.40,Sunrise Theatre for the Performing Arts - SVOG,117 S. 2nd Street,Fort Pierce,FL,34950,Live venue operator or promoter
297406.75,"Broward County Film Society, Inc - SVOG",1314 E Las Olas Blvd #007 www.FLIFF.com,Ft Lauderdale,FL,33301,Motion picture theater operator
